Program,Languages,Regulations,Organization,Responsible Instructor,Coordination,Part Of
Minor 30 Digital Humanities and Text Mining,German,,Faculty of Arts and Social Sciences,Martin Volk,Manfred Klenner,Bachelor of Science UZH in Informatics (RVO22);Bachelor of Arts UZH in Business and Economics (RVO22);Bachelor of Science UZH in Informatics (RVO16);Bachelor of Science Faculty of Science (2021)
Teaching Subject Veranstaltungen Privatdozierende,,,Faculty of Theology and the Study of Religion,,,"Veranstaltungen Privatdozierender THF ausserhalb von Studienprogrammen, nicht anrechenbar an UZH-;Studienabschlüsse"
Teaching Subject Veranstaltungen Privatdozierende,,,Faculty of Arts and Social Sciences,,,"Veranstaltungen Privatdozierender PHF ausserhalb von Studienprogrammen, nicht anrechenbar an UZH-;Studienabschlüsse"
Doctoral Program Drug Discovery,English,,Faculty of Science,Michael Arand,Olga von Niederhäusern,Doctorate Faculty of Science
Major Computational Biology and Bioinformatics,,,Faculty of Science,Christian von Mering,,Joint Degree Master of Science ETH UZH Unibas Computational Biology and Bioinformatics
Partial Area Vorlesungen 1. Studienjahr,,,Humanmedizin,,,1. Studienjahr Humanmedizin;1. Studienjahr;1. Studienjahr Zahnmedizin;1. Studienjahr LU;1. Studienjahr SG
Partial Area Vorlesungen 2. Studienjahr,,,Humanmedizin,,,2. Studienjahr Humanmedizin;2. Studienjahr;2. Studienjahr Zahnmedizin;2. Studienjahr LU;2. Studienjahr SG
Partial Area Vorlesungen 3. Studienjahr,,,Humanmedizin,,,3. Studienjahr Humanmedizin;3. Studienjahr;3. Studienjahr LU;3. Studienjahr SG
Area Vorlesungen 1. Studienjahr Master,,,Humanmedizin,,,1st year of studies Medicine
Minor 30 Environmental Studies,"English, German",,Faculty of Science,Hanna Kokko,Claudia Hegglin Braun,Master of Science Faculty of Science (120) (2021)
Area 1. Studienjahr LU,,,Humanmedizin,,,Luzerner Track
Area 2. Studienjahr LU,,,Humanmedizin,,,Luzerner Track
Area 3. Studienjahr LU,,,Humanmedizin,,,Luzerner Track
Area 1. Studienjahr SG,,,Humanmedizin,,,St. Galler Track
Area 2. Studienjahr SG,,,Humanmedizin,,,St. Galler Track
Area 3. Studienjahr SG,,,Humanmedizin,,,St. Galler Track
Partial Area Mantelstudium 1. Studienjahr SG,,,Humanmedizin,,,1. Studienjahr SG
Partial Area Mantelstudium 1. Studienjahr LU,,,Humanmedizin,,,1. Studienjahr LU
Partial Area Mantelstudium 2. Studienjahr LU,,,Humanmedizin,,,2. Studienjahr LU
Partial Area Mantelstudium 3. Studienjahr LU,,,Humanmedizin,,,3. Studienjahr LU
Partial Area Mantelstudium 2. Studienjahr SG,,,Humanmedizin,,,2. Studienjahr SG
Partial Area Mantelstudium 3. Studienjahr SG,,,Humanmedizin,,,3. Studienjahr SG
Partial Subject Biological and Medical Physics,,,Faculty of Science,,,Physics;Physics (Fast Track);Physics;Physics (Fast Track)
Area Compulsory modules Biological and Medical Physics,,,Faculty of Science,,,Biological and Medical Physics
Area Core elective modules Biological and Medical Physics,,,Faculty of Science,,,Biological and Medical Physics
Area Elective modules Biological and Medical Physics,,,Faculty of Science,,,Biological and Medical Physics
Partial Area Urologie,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
Partial Area Ethik in der Medizin,,,Humanmedizin,,,Wahlmodule 3. Studienjahr Master
"Area Core elective modules, Biomedicine 60",,,Faculty of Science,,,Biomedicine;Biomedicine
Minor 60 Astronomy and Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Bachelor of Science Faculty of Science (2021)
Minor 60 Astronomy und Astrobiology,"German, English",,Faculty of Science,Benjamin Moore,,Bachelor of Science UZH in Informatics (RVO16);Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science UZH in Informatics (RVO22)
Major 120 Computational Linguistics and Language Technology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Bachelor of Arts (RVO19)
Major 120 History,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Martin Dusinberre,Marietta Meier,Bachelor of Arts (RVO19)
Area Other Curricular Modules,,,Department of History,,,History
Area Introduction to History,,,Department of History,,,History;History
Area Antiquity,,,Department of History,,,History;History
Area Introduction to Computational Linguistics,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Scientific Specialization,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology;Computational Linguistics and Language Technology
Area Other Curricular Modules,,,Department of Computational Linguistics,,,Computational Linguistics and Language Technology
Area Middle Ages,,,Department of History,,,History;History
Major 120 German Literature and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Arts (RVO19)
Major 120 Scandinavian Studies,"German, Danish, Swedish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Arts (RVO19)
Major 120 English Literature and Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,English Department,Barbara Straumann,Martin Mühlheim,Bachelor of Arts (RVO19)
Major 120 French Literature and Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19)
Major 120 Italian Literature and Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19)
Major 120 Comparative Romance Linguistics,"French, Italian, Spanish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19)
Major 120 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Bachelor of Arts (RVO19)
Major 120 Latin Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Bachelor of Arts (RVO19)
Major 120 Slavonic Literatures and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Slavonic Languages and Literatures,Sylvia Sasse,Gianna Maria Giulia Frölicher,Bachelor of Arts (RVO19)
Major 120 Indian Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Islamic Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Japanese Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Sinology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Asian and Oriental Studies,David Chiavacci,Kathrin Ensinger,Bachelor of Arts (RVO19)
Major 120 Eastern European Studies,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of History,Nada Boskovska Leimgruber,Daniel Ursprung,Bachelor of Arts (RVO19)
Major 120 Art History,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Art History,Bärbel Küster,Vera Isaiasz,Bachelor of Arts (RVO19)
Major 120 Musicology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Institute of Musicology,Inga Mai Groote,Esma Cerkovnik,Bachelor of Arts (RVO19)
Major 120 Film Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Film Studies,Daniel Johannes Wiegand,Matthias Brütsch,Bachelor of Arts (RVO19)
Major 120 Educational Science,German,http://www.phil.uzh.ch/studium/rechtsgrundlagen.html,Institute of Education,Peter Rieker,Bettina Kunz,Bachelor of Arts (RVO19)
Major 120 Philosophy,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Philosophy,Katia Saporiti,Simon Berwert,Bachelor of Arts (RVO19)
Major 120 Popular Culture Studies,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Bernhard Tschofen,Mischa Elias Gallati Zimmermann,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Political Science,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Political Science,Marco Steenbergen,Hanno Degner,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Social Anthropology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Social Anthropology and Cultural Studies,Ann Elisabeth Derks,Jan Patrick Heiss,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Sociology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Sociology,Jörg Rössel,Bettina Isengard,Bachelor of Arts in Social Sciences (RVO 19)
Major 120 Psychology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Psychology,Klaus Oberauer,Heike Dele Bull,Bachelor of Science in Psychology (RVO19)
Minor 60 Computational Linguistics and Language Technology,"German, English",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Computational Linguistics,Rico Sennrich,Jeannette Roth,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 German Literature and Linguistics,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Scandinavian Studies,"Danish, Swedish, Norwegian",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Comparative Germanic Linguistics,German,http://www.phil.uzh.ch/studium/rechtsgrundlagen.html,Department of German and Scandinavian Studies,Sabine Schneider,Charlotte Schweri Litscher,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 English Literature and Linguistics,English,https://www.phil.uzh.ch/de/studium/dokumente.html,English Department,Barbara Straumann,Martin Mühlheim,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 General and Comparative Literature,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Ayse Zeynep Pamuk,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 French Literature and Linguistics,French,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Italian Literature and Linguistics,Italian,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Romansh Literature and Linguistics,"Rhaeto-Romance, German",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Comparative Romance Linguistics,"French, Italian, Spanish",https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Romance Studies,Sandro Zanetti,Christian Seidl,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
Minor 60 Greek Philology,German,https://www.phil.uzh.ch/de/studium/dokumente.html,Department of Greek and Latin Philology,Ulrich Eigler,Fabian Zogg,Bachelor of Arts (RVO19);Bachelor of Arts in Social Sciences (RVO 19);Bachelor of Science in Psychology (RVO19);BA UZH in Study of Religions Bologna 2020;Bachelor of Theology UZH Bologna 2020;Bachelor of Science Faculty of Science (2021)
